Timestamp,Name,Email,Wallet Address,Rating,Feedback
2026-06-21 10:15:30,Aarav Mehta,aarav.mehta@gmail.com,0x71C7656EC7ab88b098defB751B7401B5f6d8976F,5,Very clean UI! Easy to connect wallet.
2026-06-21 10:20:12,Isha Sharma,isha.sharma@yahoo.com,0x281055afc756627068e888882b3c34f9b0169382,4,Loved the escrow reward concept. It actually incentivizes finding.
2026-06-21 10:45:00,Rohan Joshi,rohan.joshi@outlook.com,0x465EBC5D6559C139Fb86D2fdd71f2aC7c55F2ab46,4,Dashboard loads a bit slow when checking item counts.
2026-06-21 11:10:05,Aditi Rao,aditi.rao@gmail.com,0xb89837e94e6abd554cb9d420e4201b0850cac378,5,The FinderNFT badge is awesome! Got my certificate of honor.
2026-06-21 11:32:41,Karan Malhotra,karan.m@gmail.com,0xe436b9c99881a8af0fba9843b53117081042434f,3,Transaction failed due to gas but no clear alert on screen.
2026-06-21 12:05:19,Sneha Patil,sneha.patil@gmail.com,0x138eb5cdf3c8499e463af3d6dbe27e50f5cdd262,4,Works well on mobile screen. Responsive layout looks premium.
2026-06-21 12:40:55,Vikram Singh,vikram.s@hotmail.com,0x5cdd262138eb5cdf3c8499e463af3d6dbe27e50f,5,Perfect lost and found app for Pune citizens.
2026-06-21 13:12:03,Pooja Hegde,pooja.h@outlook.com,0x8b098defb751b7401b5f6d8976f71c7656ec7ab8,4,Escrow release was immediate upon owner verification.
2026-06-21 13:45:12,Amit Patel,amit.patel@gmail.com,0x0E74029dac4E151fa77E0D4F24BbC34f9B016938,5,Simple flow and clean presentation.
2026-06-21 14:18:22,Anjali Deshmukh,anjali.d@gmail.com,0x6c183e302104a6a2d79a4d7c812de6fbca4a186d,4,Real-time updates work nicely. Item status changed instantly.
2026-06-21 14:50:33,Rajesh Kumar,rajesh.k@gmail.com,0x3c34f9b0169382281055afc756627068e888882b,3,Wallet rejected error is generic. Show friendly message.
2026-06-21 15:22:11,Meera Nair,meera.nair@gmail.com,0xf618b27ef3e9a0fba9843b53117081042434f9f06,5,Great combination of Lost & Found and FinderNFT badging.
2026-06-21 15:55:04,Sanjay Dutt,sanjay.d@yahoo.com,0x9f0611459738684a1fb1408fc2b56ffee0fa5433f,4,Smooth flow but would love map integration in the next version.
2026-06-21 16:30:18,Divya Kulkarni,divya.k@gmail.com,0x4998efaa6b8a0fd62c9cce0524b24fe6798fc7e90,5,Very useful for local communities in Pune!
2026-06-21 17:02:44,Abhishek Bachchan,abhishek.b@gmail.com,0x75e04e7d3b30392976d6c772e1b8c8f75ef6c8b0,4,Escrow works securely. Verified claim manually and worked.
2026-06-21 17:35:10,Priyanka Chopra,priyanka.c@gmail.com,0x99f0b25d60830075a7075621ec67075dbbe18045,4,Real-time listeners update active item listings instantly.
2026-06-21 18:12:30,Ranbir Kapoor,ranbir.k@gmail.com,0x1c4cc5fc546a079af248e42f902b08364d2065d8,5,The UI styling is premium. Love the design.
2026-06-21 18:45:00,Deepika Padukone,deepika.p@yahoo.com,0xe1b8c8f75ef6c8b075e04e7d3b30392976d6c772,4,Onboarding is smooth. Took less than a minute.
2026-06-21 19:15:22,Varun Dhawan,varun.d@gmail.com,0xf2aC7c55F2ab465EBC5D6550x79C139Fb86D2fdd7,5,Badge NFTs are soulbound. Good architectural choice.
2026-06-21 19:40:11,Alia Bhatt,alia.b@gmail.com,0x0E74029dac4E151fa77E0D4F24BbC34f9B016938,4,Liked the claim rejection refund feature.
2026-06-21 20:05:44,Siddharth Malhotra,sid.m@gmail.com,0x6c183e302104a6a2d79a4d7c812de6fbca4a186d,4,Clean UI layout, intuitive dashboard flow.
2026-06-21 20:30:19,Kiara Advani,kiara.a@gmail.com,0xB89837E94e6Abd554CB9D420e4201b0850CaC378,5,Excellent security implementation in contract!
2026-06-21 21:02:12,Vicky Kaushal,vicky.k@yahoo.com,0xE436B9c99881A8Af0FbA9843b53117081042434f,4,Stable dApp. Had zero issues.
2026-06-21 21:35:40,Katrina Kaif,katrina.k@gmail.com,0x138eb5cdf3c8499e463af3d6dbe27e50f5cdd262,4,Nice toast notifications upon transaction confirmation.
2026-06-21 22:05:11,Hrithik Roshan,hrithik.r@gmail.com,0x5cdd262138eb5cdf3c8499e463af3d6dbe27e50f,5,Smooth user experience. Awesome tool.
2026-06-21 22:30:45,Kriti Sanon,kriti.s@outlook.com,0x8b098defb751b7401b5f6d8976f71c7656ec7ab8,4,Dashboard metrics are extremely clear.
2026-06-21 23:00:15,Ayushmann Khurrana,ayushmann.k@gmail.com,0x0E74029dac4E151fa77E0D4F24BbC34f9B016938,4,Verified contract on-chain works perfectly.
2026-06-21 23:32:04,Bhumi Pednekar,bhumi.p@gmail.com,0x6c183e302104a6a2d79a4d7c812de6fbca4a186d,5,Soulbound badges are a very clean approach.
2026-06-22 00:05:22,Rajkummar Rao,rajkummar.r@gmail.com,0x3c34f9b0169382281055afc756627068e888882b,4,Mobile responsiveness is top notch. Tested on Android.
2026-06-22 00:30:19,Shraddha Kapoor,shraddha.k@gmail.com,0xf618b27ef3e9a0fba9843b53117081042434f9f06,5,Great hyperlocal use case for Pune.
2026-06-22 01:05:11,Kartik Aaryan,kartik.a@yahoo.com,0x9f0611459738684a1fb1408fc2b56ffee0fa5433f,4,Clear instructions in the popup windows.
2026-06-22 01:30:45,Sara Ali Khan,sara.a@gmail.com,0x4998efaa6b8a0fd62c9cce0524b24fe6798fc7e90,4,Escrow transactions confirm quickly on Stellar.
2026-06-22 02:05:12,Janhvi Kapoor,janhvi.k@gmail.com,0x75e04e7d3b30392976d6c772e1b8c8f75ef6c8b0,5,Badge certificate looks very clean and professional.
2026-06-22 02:30:44,Ananya Panday,ananya.p@gmail.com,0x99f0b25d60830075a7075621ec67075dbbe18045,4,User-friendly dApp! Simplifies Web3.
2026-06-22 03:05:11,Ishaan Khatter,ishaan.k@hotmail.com,0x1c4cc5fc546a079af248e42f902b08364d2065d8,4,Fast loading dashboard states are useful.
2026-06-22 03:32:05,Tiger Shroff,tiger.s@gmail.com,0xe1b8c8f75ef6c8b075e04e7d3b30392976d6c772,5,Excellent smart contract integrations.
2026-06-22 04:05:19,Tara Sutaria,tara.s@outlook.com,0xf2aC7c55F2ab465EBC5D6550x79C139Fb86D2fdd7,4,Nice responsive table structure for items list.
2026-06-22 04:30:11,Aditya Roy Kapur,aditya.rk@gmail.com,0x0E74029dac4E151fa77E0D4F24BbC34f9B016938,5,Real transaction interaction works smoothly.
2026-06-22 05:05:44,Sanya Malhotra,sanya.m@gmail.com,0x6c183e302104a6a2d79a4d7c812de6fbca4a186d,4,Excellent styling and clean visuals.
2026-06-22 05:30:19,Fatima Sana Shaikh,fatima.s@gmail.com,0xB89837E94e6Abd554CB9D420e4201b0850CaC378,5,Best project for hyperlocal lost and found!
2026-06-22 06:05:11,Mrunal Thakur,mrunal.t@yahoo.com,0xE436B9c99881A8Af0FbA9843b53117081042434f,4,Confetti trigger on success is a nice touch!
2026-06-22 06:30:45,Radhika Apte,radhika.a@gmail.com,0x138eb5cdf3c8499e463af3d6dbe27e50f5cdd262,4,Escrow balance displays correctly on active page.
